u,v,key,osmid,lanes,name,highway,maxspeed,geometry,length,rule,lts,slope,slope_class,lanes_assumed,maxspeed_assumed,message,short_message
3445307035,6684814180,0,337440333,,MV 06,cycleway,,"LINESTRING (781509.5287185778 5116467.097194533, 781516.8647707806 5116488.331819572, 781524.3325130331 5116514.615996687, 781531.4709084914 5116540.150246477, 781535.7531978155 5116564.851882235, 781539.7797435322 5116587.370736901, 781541.297845541 5116601.491001633, 781545.5555623949 5116618.976995881, 781547.0731568629 5116648.940261362, 781547.8648116833 5116670.954232767, 781551.7763340939 5116688.056926974, 781557.8409447139 5116697.710016936, 781563.9146419403 5116714.9120717645, 781565.0768629618 5116736.943081952, 781564.9026405683 5116764.3124519065, 781557.1698425099 5116783.05115628, 781552.3945744634 5116787.107019068)",331.48199999999997,s3,2,14.947547912597656,10-20: extreme,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
3445307415,4537840691,0,418309985,,,cycleway,,"LINESTRING (781353.95193438 5115585.739869255, 781338.396473194 5115595.313248187, 781328.6202115652 5115613.880537537, 781339.1778315157 5115639.504475411, 781351.3683431034 5115654.1701110825, 781360.5213049634 5115666.213583734, 781364.3631049385 5115674.7511707675, 781368.2016707584 5115680.661111032, 781370.0583608295 5115689.953727543, 781375.8203196365 5115703.533865823, 781385.0125042648 5115718.429359703, 781386.3924052191 5115726.642416696, 781386.3982525314 5115735.282270544)",176.07299999999998,s3,2,19.020851135253906,10-20: extreme,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
3445307415,1894585980,0,457675572,,MV 06,cycleway,,"LINESTRING (781353.95193438 5115585.739869255, 781357.1210500167 5115579.761914747, 781366.332941923 5115575.853813977, 781378.3835239491 5115573.167108767, 781387.8590055667 5115571.4421666395, 781399.0923637359 5115570.877882735, 781408.0823483389 5115564.554821242, 781414.1594978466 5115558.1203155015)",69.659,s3,2,14.758639335632324,10-20: extreme,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
3506974439,481334605,0,178879019,,,cycleway,,"LINESTRING (780690.3614809297 5113459.755326256, 780697.6096801504 5113470.218328403, 780707.7707227948 5113484.366170968, 780721.7241454578 5113501.927391356, 780736.804044426 5113516.189075996, 780755.2535854869 5113532.442036055)",97.74599999999998,s3,1,2.538492441177368,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
4144795322,912306659,0,130071811,,,cycleway,,"LINESTRING (782447.2646965958 5117607.715451075, 782428.259098988 5117619.5093614375, 782403.2603807373 5117635.257848914, 782354.8721242268 5117667.775629129, 782318.3215281622 5117699.814988843, 782291.6981710632 5117726.990096682)",196.45,s3,1,2.4460501670837402,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
4230598338,4537840691,0,337440333,,MV 06,cycleway,,"LINESTRING (781494.7267447151 5116200.1591631435, 781491.3059167532 5116183.47990895, 781486.2561192035 5116163.174252041, 781479.8982953818 5116150.958259737, 781475.7472526091 5116131.640244023, 781474.1289664978 5116119.018456569, 781469.5107797479 5116103.130383883, 781463.5622796402 5116088.739915506, 781459.8832247955 5116070.601481321, 781454.274312929 5116043.590094152, 781448.6280935138 5116017.389750639, 781444.7491982088 5116000.567046156, 781440.0495803051 5115977.683436315, 781431.145839053 5115950.788004618, 781430.6343765205 5115926.192888795, 781427.6686334149 5115903.132843439, 781425.3524812553 5115880.9265068965, 781417.9525984916 5115860.379457287, 781413.2388340039 5115843.529597173, 781411.9602862354 5115819.455952537, 781410.2740798204 5115808.812852714, 781409.0019331437 5115800.782867357, 781407.5162516991 5115781.219915957, 781397.5442413944 5115759.3746763095, 781387.7866610466 5115738.251846906, 781386.3982525314 5115735.282270544)",480.649,s3,2,25.294187545776367,>20: impossible,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
4230598338,4537840705,0,337440333,,MV 06,cycleway,,"LINESTRING (781494.7267447151 5116200.1591631435, 781497.470207514 5116213.55632272, 781499.4200811584 5116232.773264078, 781498.8592580903 5116244.983239767, 781497.7310993425 5116259.77240003, 781501.8657400544 5116279.779974539, 781501.815491007 5116296.711748315, 781502.9374487207 5116327.380461472, 781506.6014177739 5116349.882603714, 781504.3311623556 5116375.7194250785, 781505.1068054627 5116398.088898169, 781507.2839998594 5116420.945827628)",222.115,s3,1,6.900348663330078,5-8: medium,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
4417658388,5074943143,0,444279351,,MV 06,cycleway,,"LINESTRING (781383.4191912813 5117016.756325116, 781381.8935267339 5117025.8825465245, 781378.6443238673 5117042.377940483, 781375.9591102428 5117053.332476591, 781373.2509442894 5117064.786967548, 781369.0030213951 5117076.070547904, 781365.843513113 5117081.514481859, 781358.6779450655 5117092.975822203, 781349.1069962475 5117104.749787857, 781337.7608513562 5117114.571821739, 781319.3356962847 5117127.063750976, 781290.3230966299 5117148.700128046, 781263.3896807518 5117174.774138696, 781243.0231610744 5117198.043443149, 781229.8427149155 5117213.782402326, 781218.0366375411 5117226.890161482, 781202.9668593942 5117243.1659234185, 781192.6124694864 5117260.893950649, 781186.1884543612 5117274.248777475, 781181.5007239601 5117300.520212328, 781178.8688805779 5117314.872964578, 781178.071678617 5117317.575216356, 781176.4385927899 5117320.450641987, 781174.6663065072 5117325.178972645, 781172.3506789731 5117329.270025426, 781169.9203255139 5117333.500549043, 781167.7255479416 5117336.138661952, 781164.5365295659 5117339.365755847)",403.245,s3,1,3.8802318572998047,3-5: mild,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
4537840691,375694438,0,337440333,,MV 06,cycleway,,"LINESTRING (781386.3982525314 5115735.282270544, 781380.6178520904 5115722.948220523, 781334.4094622133 5115675.269019417, 781324.8470768176 5115665.400092726, 781281.1402740851 5115639.256972636, 781250.9212433322 5115632.904850824, 781205.6837948423 5115620.208100866, 781192.7312138472 5115615.060335168, 781183.6521093834 5115610.847352658)",245.86700000000002,s3,2,11.757024765014648,10-20: extreme,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
4537840691,4230598338,0,337440333,,MV 06,cycleway,,"LINESTRING (781386.3982525314 5115735.282270544, 781387.7866610466 5115738.251846906, 781397.5442413944 5115759.3746763095, 781407.5162516991 5115781.219915957, 781409.0019331437 5115800.782867357, 781410.2740798204 5115808.812852714, 781411.9602862354 5115819.455952537, 781413.2388340039 5115843.529597173, 781417.9525984916 5115860.379457287, 781425.3524812553 5115880.9265068965, 781427.6686334149 5115903.132843439, 781430.6343765205 5115926.192888795, 781431.145839053 5115950.788004618, 781440.0495803051 5115977.683436315, 781444.7491982088 5116000.567046156, 781448.6280935138 5116017.389750639, 781454.274312929 5116043.590094152, 781459.8832247955 5116070.601481321, 781463.5622796402 5116088.739915506, 781469.5107797479 5116103.130383883, 781474.1289664978 5116119.018456569, 781475.7472526091 5116131.640244023, 781479.8982953818 5116150.958259737, 781486.2561192035 5116163.174252041, 781491.3059167532 5116183.47990895, 781494.7267447151 5116200.1591631435)",480.64899999999994,s3,2,27.6538143157959,>20: impossible,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
4537840691,3445307415,0,418309985,,,cycleway,,"LINESTRING (781386.3982525314 5115735.282270544, 781386.3924052191 5115726.642416696, 781385.0125042648 5115718.429359703, 781375.8203196365 5115703.533865823, 781370.0583608295 5115689.953727543, 781368.2016707584 5115680.661111032, 781364.3631049385 5115674.7511707675, 781360.5213049634 5115666.213583734, 781351.3683431034 5115654.1701110825, 781339.1778315157 5115639.504475411, 781328.6202115652 5115613.880537537, 781338.396473194 5115595.313248187, 781353.95193438 5115585.739869255)",176.07299999999998,s3,2,18.417037963867188,10-20: extreme,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
4537840705,4230598338,0,337440333,,MV 06,cycleway,,"LINESTRING (781507.2839998594 5116420.945827628, 781505.1068054627 5116398.088898169, 781504.3311623556 5116375.7194250785, 781506.6014177739 5116349.882603714, 781502.9374487207 5116327.380461472, 781501.815491007 5116296.711748315, 781501.8657400544 5116279.779974539, 781497.7310993425 5116259.77240003, 781498.8592580903 5116244.983239767, 781499.4200811584 5116232.773264078, 781497.470207514 5116213.55632272, 781494.7267447151 5116200.1591631435)",222.115,s3,1,6.6000823974609375,5-8: medium,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
4537840705,3445307035,0,337440333,,MV 06,cycleway,,"LINESTRING (781507.2839998594 5116420.945827628, 781508.035749603 5116428.840626935, 781509.5287185778 5116467.097194533)",46.205,s3,1,2.904086112976074,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
